Feature,Importance
Total Collection Amount,0.12805075506754085
Revolving_Util_derived,0.12685851550126076
Investor_Funded_Ratio_derived,0.12326184159925041
Total Received Interest,0.12132349740132609
Sub_Grade_Letter_Encoded,0.048048084291214155
Inquiries_per_Acct_derived,0.04597003594003742
Delinquency - two years,0.02947752542992925
Inquires - six months,0.01765819923903968
Employment Duration_MORTGAGE,0.01719896669492259
Public Record,0.016472076375976454
Employment Duration_OWN,0.01469079985294969
Loan Title_Debt consolidation,0.013968813413419993
Loan Title_Credit card refinancing,0.013854898203909477
Verification Status_Verified,0.013745540089765541
Employment Duration_RENT,0.01305169859821837
Verification Status_Not Verified,0.012896283379389065
Initial List Status_w,0.012695641631011915
Initial List Status_f,0.012473460260711788
Has_Delinquency_derived,0.012373904836791728
Verification Status_Source Verified,0.012215621729125502
Batch Enrolled_BAT1586599,0.012018740097999745
Has_Public_Record_derived,0.00999332708124218
Collection 12 months Medical,0.0077389894243632355
Batch Enrolled_BAT4136152,0.007360556653495556
Batch Enrolled_BAT1780517,0.00655696577135458
Batch Enrolled_BAT4694572,0.006518811577712602
Batch Enrolled_BAT4271519,0.006449812050895352
Loan Title_Other,0.0062133251260901995
Batch Enrolled_BAT1104812,0.006184598018738059
Batch Enrolled_BAT2803411,0.005820454320428642
Batch Enrolled_BAT2833642,0.005815100434906011
Batch Enrolled_BAT2252229,0.005749764493009256
Batch Enrolled_BAT2333412,0.00566322544578155
Batch Enrolled_BAT5489674,0.005606844162968567
Batch Enrolled_BAT1766061,0.005216691654891085
Batch Enrolled_BAT5629144,0.005204944962210318
Batch Enrolled_BAT3726927,0.005195282604629927
Batch Enrolled_BAT5714674,0.005181296796217409
Batch Enrolled_BAT1184694,0.005161246308822663
Batch Enrolled_BAT5341619,0.004978816915863492
Batch Enrolled_BAT2078974,0.004671111504083275
Batch Enrolled_BAT4808022,0.004639910736354231
Batch Enrolled_BAT3873588,0.004528090500351666
Batch Enrolled_BAT5525466,0.004479195073318512
Batch Enrolled_BAT2136391,0.004315131943184918
Batch Enrolled_BAT1930365,0.00422006561435399
Batch Enrolled_BAT3461431,0.0038478102362669193
Batch Enrolled_BAT5924421,0.003672838868854733
Batch Enrolled_BAT1135695,0.0034258327498930827
Batch Enrolled_BAT5849876,0.00319849454000709
Batch Enrolled_BAT1761981,0.0031817093893326946
Batch Enrolled_BAT5547201,0.003102726221247287
Batch Enrolled_BAT5811547,0.0030171913672017965
Batch Enrolled_BAT4351734,0.0028381838140807258
Loan Title_Moving and relocation,0.0017751497335907257
Loan Title_debt consolidation,0.001736562839202822
Application Type_JOINT,0.0014586452176002284
Loan Title_Debt Consolidation Loan,0.0010186419089458151
Loan Title_Credit Card Consolidation,0.0008692198297433863
Loan Title_Lending Club,0.0007858958712559021
Loan Title_bills,0.000592759009992869
Loan Title_personal,0.0005269011814482174
Loan Title_My Loan,0.0004344494059472682
Loan Title_Credit card refinance,0.0004233898384196136
Loan Title_Credit Card Refinance,0.0004230043035688266
Loan Title_Loan 1,0.00038008579700713597
Loan Title_debt consolidation loan,0.0003107587497412941
Loan Title_Personal,0.0003048339841966666
Loan Title_Refinance Loan,0.0001679417284145416
Loan Title_debt loan,0.00016088080481564885
Loan Title_Debt Reduction,0.00011005657482449279
Loan Title_Card Consolidation,0.00010065352796813097
Loan Title_CC Consolidation,8.516283386885413e-05
Loan Title_credit card consolidation,7.257496506179422e-05
Loan Title_home improvement,4.7784134477207414e-05
Loan Title_Home Improvement Loan,4.709690705273862e-05
Loan Title_Wedding Loan,3.479438685117233e-05
Loan Title_CONSOLIDATE,2.7660255747610402e-05
Loan Title_Personal loan,2.129957566187356e-05
Loan Title_Getting Ahead,1.5786664899199495e-05
Loan Title_Credit card pay off,1.4763973754021534e-05
Loan Title_CC,0.0
Payment Plan_n,0.0
Accounts Delinquent,0.0
